ZIP,TERMINAL,SERVICEOUTBOUND,DAYSOUTBOUND,SERVICEINBOUND,DAYSINBOUND
2293,MA001,D,3,D,3
2297,MA001,D,3,D,3
2298,MA001,D,8,D,8
2301,MA001,D,3,D,3
2302,MA001,D,3,D,3
2303,MA001,D,8,D,8
2304,MA001,D,8,D,8
2305,MA001,D,8,D,8
2322,MA001,D,3,D,3
2324,MA001,D,3,D,3
2325,MA001,D,3,D,3
2327,MA001,D,3,D,3
2330,MA001,D,3,D,3
2331,MA001,D,3,D,3
2332,MA001,D,3,D,3
2333,MA001,D,3,D,3
2334,MA001,D,3,D,3
2337,MA001,D,3,D,3
2338,MA001,D,3,D,3
2339,MA001,D,3,D,3
2340,MA001,D,3,D,3
2341,MA001,D,3,D,3
2343,MA001,D,3,D,3
2344,MA001,D,3,D,3
2345,MA001,D,3,D,3
2346,MA001,D,3,D,3
2347,MA001,D,3,D,3
2348,MA001,D,3,D,3
2349,MA001,D,3,D,3
2350,MA001,D,3,D,3
2351,MA001,D,3,D,3
2355,MA001,D,3,D,3
2356,MA001,D,3,D,3
2357,MA001,D,3,D,3
2358,MA001,D,3,D,3
2359,MA001,D,3,D,3
2360,MA001,D,3,D,3
2361,MA001,D,3,D,3
2362,MA001,D,3,D,3
2364,MA001,D,3,D,3
2366,MA001,D,3,D,3
2367,MA001,D,3,D,3
2368,MA001,D,3,D,3
2370,MA001,D,3,D,3
2375,MA001,D,3,D,3
2379,MA001,D,3,D,3
2381,MA001,D,3,D,3
2382,MA001,D,3,D,3
2420,MA001,D,3,D,3
2421,MA001,D,3,D,3
2445,MA001,D,3,D,3
2446,MA001,D,3,D,3
2447,MA001,D,3,D,3
2451,MA001,D,3,D,3
2452,MA001,D,3,D,3
2453,MA001,D,3,D,3
2454,MA001,D,3,D,3
2455,MA001,D,3,D,3
2456,MA001,D,3,D,3
2457,MA001,D,3,D,3
2458,MA001,D,3,D,3
2459,MA001,D,3,D,3
2460,MA001,D,3,D,3
2461,MA001,D,3,D,3
2462,MA001,D,3,D,3
2464,MA001,D,3,D,3
2465,MA001,D,3,D,3
2466,MA001,D,3,D,3
2467,MA001,D,3,D,3
2468,MA001,D,3,D,3
2471,MA001,D,8,D,8
2472,MA001,D,3,D,3
2474,MA001,D,3,D,3
2475,MA001,D,3,D,3
2476,MA001,D,3,D,3
2477,MA001,D,3,D,3
2478,MA001,D,3,D,3
2479,MA001,D,3,D,3
2481,MA001,D,3,D,3
2482,MA001,D,3,D,3
2492,MA001,D,3,D,3
2493,MA001,D,3,D,3
2494,MA001,D,3,D,3
2495,MA001,D,3,D,3
2532,MA001,D,3,D,3
2534,MA001,D,3,D,3
2535,MA001,D,8,D,8
2536,MA001,D,4,D,4
2537,MA001,D,3,D,3
2538,MA001,D,3,D,3
2539,MA001,D,8,D,8
2540,MA001,D,4,D,4
2541,MA001,D,8,D,8
2542,MA001,D,4,D,4
2543,MA001,D,4,D,4
2552,MA001,D,8,D,8
