LOWZIP,HIGHZIP,TERMINAL,SERV_IN,SERV_OUT,DAYS_IN,DAYS_OUT
33330,33334,FL004,D,3,3,D
33335,33335,FL004,D,8,8,D
33336,33336,FL004,D,3,3,D
33338,33340,FL004,D,8,8,D
33345,33345,FL004,D,3,3,D
33346,33346,FL004,D,8,8,D
33348,33351,FL004,D,3,3,D
33355,33359,FL004,D,8,8,D
33388,33394,FL004,D,3,3,D
33401,33401,FL004,D,4,4,D
33402,33402,FL004,D,8,8,D
33403,33418,FL004,D,4,4,D
33419,33425,FL004,D,8,8,D
33426,33426,FL004,D,4,4,D
33427,33427,FL004,D,8,8,D
33428,33428,FL004,D,3,3,D
33429,33429,FL004,D,8,8,D
33430,33440,FL004,D,4,4,D
33441,33442,FL004,D,3,3,D
33443,33443,FL004,D,8,8,D
33444,33446,FL004,D,4,4,D
33448,33448,FL004,D,8,8,D
33449,33449,FL004,D,4,4,D
33454,33454,FL004,D,8,8,D
33455,33464,FL004,D,4,4,D
33465,33466,FL004,D,8,8,D
33467,33467,FL004,D,4,4,D
33468,33468,FL004,D,8,8,D
33469,33473,FL004,D,4,4,D
33474,33474,FL004,D,8,8,D
33475,33480,FL004,D,4,4,D
33481,33482,FL004,D,8,8,D
33483,33487,FL004,D,4,4,D
33488,33488,FL004,D,8,8,D
33493,33496,FL004,D,4,4,D
33497,33497,FL004,D,8,8,D
33498,33499,FL004,D,4,4,D
33503,33503,FL003,D,3,3,D
33508,33508,FL003,D,8,8,D
33509,33511,FL003,D,3,3,D
33513,33513,FL003,D,4,4,D
33514,33521,FL001,D,4,4,D
33523,33525,FL003,D,3,3,D
33526,33526,FL003,D,8,8,D
33527,33537,FL003,D,3,3,D
33538,33538,FL003,D,4,4,D
33539,33570,FL003,D,3,3,D
33571,33571,FL003,D,8,8,D
33572,33574,FL003,D,3,3,D
33575,33575,FL003,D,8,8,D
33576,33579,FL003,D,3,3,D
33583,33583,FL003,D,8,8,D
33584,33584,FL003,D,3,3,D
33585,33585,FL001,D,4,4,D
33586,33592,FL003,D,3,3,D
33593,33593,FL003,D,4,4,D
33594,33596,FL003,D,3,3,D
33597,33597,FL003,D,4,4,D
33598,33598,FL003,D,3,3,D
33601,33601,FL003,D,8,8,D
33602,33621,FL003,D,3,3,D
33622,33623,FL003,D,8,8,D
33624,33630,FL003,D,3,3,D
33631,33631,FL003,D,8,8,D
33633,33637,FL003,D,3,3,D
33646,33646,FL003,D,8,8,D
33647,33663,FL003,D,3,3,D
33672,33694,FL003,D,8,8,D
33701,33730,FL003,D,3,3,D
33731,33743,FL003,D,8,8,D
33744,33744,FL003,D,3,3,D
33747,33747,FL003,D,8,8,D
33755,33756,FL003,D,3,3,D
33757,33758,FL003,D,8,8,D
33759,33765,FL003,D,3,3,D
33766,33766,FL003,D,8,8,D
33767,33774,FL003,D,3,3,D
33775,33775,FL003,D,8,8,D
33776,33778,FL003,D,3,3,D
33779,33780,FL003,D,8,8,D
33781,33782,FL003,D,3,3,D
33784,33784,FL003,D,8,8,D
33785,33803,FL003,D,3,3,D
33804,33804,FL003,D,8,8,D
33805,33805,FL003,D,3,3,D
33806,33807,FL003,D,8,8,D
